"id","referer","url","name","area","zip_code","address","phone_number","business_hours","introduction","height"
"1","https://shrine.mobi/area/shikoku/kochi/","https://shrine.mobi/area/shikoku/kochi/732/","土佐神社","高知県","781-8131","高知県高知市一宮しなね2丁目16-1","088-845-1096","-","両神とも古来より賀茂氏によって祀られていた神で、同族が土佐国造に任ぜられたことから当地で祀られることになったと言われている。","14"
"2","https://shrine.mobi/area/shikoku/tokushima/","https://shrine.mobi/area/shikoku/tokushima/5719/","上一宮大粟神社","徳島県","771-3310","徳島県名西郡神山町神領字西上角３３０","088-676-0482","-","-","197"
"3","https://shrine.mobi/area/kyushu/okinawa/","https://shrine.mobi/area/kyushu/okinawa/857/","普天満宮","沖縄県","901-2202","沖縄県宜野湾市普天間1-27-10","098-892-3344","-","具体的な創建時期は、不詳となるが、もともとは、琉球古神道神を祀ったことに始まり、当地には、普天間女神の伝説や普天間仙人の伝説が残っており、非常に伝承深い地となる。その後、尚金福王から尚泰久王の時代（1450年～1460年）に、熊野権現を合祀したと伝えられている。
","65"
"4","https://shrine.mobi/area/kyushu/okinawa/","https://shrine.mobi/area/kyushu/okinawa/53/","天久宮","沖縄県","900-0012","沖縄県那覇市泊3-19-3","098-863-3405","-","創建は成化年間（1465～1487年）。社伝では創建の由緒について、「往古、銘苅村に住む『銘苅の翁子』が、日暮れに、気高い女人が法師を従え下山してくるのに出会った。翁子が法師に、女人が何者なのかを尋ねると、『女人は山上の森に住む者で、名前は分からない』と答えた。翁子が不思議に思っていると、女人は洞窟に入る中途で姿を消してしまった。翁子は驚き、その様子を王の臣下に伝ると、その真偽を正すべく役人が派遣され、役人が洞窟に向って香を供えたところ、香が自然に燃えだした。この出来事とともに『我は熊野権現なり、衆生の利益の為に現はれたり。かの女人は國家の守護神なり、弁財天である』との神託があり、洞窟の外に社殿を造営した。
","5"
"5","https://shrine.mobi/area/shikoku/ehime/2","https://shrine.mobi/area/shikoku/ehime/422/","客金刀比羅神社","愛媛県","799-2303","愛媛県今治市菊間町池原1088","0898-54-3132","-","慶長6年（1602年）11月、一郡一社の金刀比羅宮として鎮座し、明治3年金刀比羅神社と改称する。　同45年5月村社客神社を合併し、客金刀比羅神社と改める。
","40"
"6","https://shrine.mobi/area/shikoku/ehime/2","https://shrine.mobi/area/shikoku/ehime/421/","金刀比羅神社","愛媛県","791-8081","愛媛県松山市高浜町4乙74","089-951-3885","-","古三津村の刈屋口には、漁民の集落があったが、慶長年間に河川が改修されたことにより、海が桑田となり、河岸に決潰もなく、流水の氾濫もなくなったので村人たちは新立の所に接する一帯の乾地に移住し、地名を苅屋と称したという。そして、当地で当社を創祀したと言われる。
","8"
"7","https://shrine.mobi/area/shikoku/ehime/2","https://shrine.mobi/area/shikoku/ehime/412/","金刀比羅宮松山分社","愛媛県","790-0865","愛媛県松山市新立町3-14","089-931-6770","-","江戸末期より松山城主をはじめとする人々の信仰を集め、当宮遥拝所として伊予路におけるこんぴら信仰の拠点として栄えていた。そして明治１１年、金刀比羅宮崇敬教会松山支教会として繁栄。当地の崇敬者の願いもあり、昭和４１年当宮分社となった。
","31"
"8","https://shrine.mobi/area/shikoku/ehime/3","https://shrine.mobi/area/shikoku/ehime/644/","天満神社 (愛媛県伊予郡)","愛媛県","791-2120","愛媛県伊予郡砥部町宮内1957-1","089-962-2277","-","菅原道真公が再度、御社篤の所御神縁深きを以って死後、殿内に祀り客天神として崇敬されていたという。天慶5年（942年）9月25日には、河野伊豫宍越智宿禰好方国内25社の天神を大宰府より勧請したとされる。
","60"
"9","https://shrine.mobi/area/shikoku/ehime/3","https://shrine.mobi/area/shikoku/ehime/555/","多賀神社（松山市）","愛媛県","790-0865","愛媛県松山市新立町4-23","089-933-2276","-","寛永5年（1628年）、蒲生忠知（がもうただちか）が松山藩主になった際、蒲生氏の氏神である多賀大社の御分霊を勧請したことに始まるとされる。
","31"
"10","https://shrine.mobi/area/shikoku/ehime/3","https://shrine.mobi/area/shikoku/ehime/903/","三島神社（松山市）","愛媛県","791-8016","愛媛県松山市久万ノ台1278","089-925-2353","-","かつては、古宮山俗に柴山と称する地に鎮座しており、社殿は河野玉純によって創立されたとするが、具体的なことは不明となっている。
","23"
